Date,Time,Command
10 April 2018 Tuesday,19:36:23,YO IT'S WORKING
10 April 2018 Tuesday,19:54:35,TEXT SPACE
10 April 2018 Tuesday,19:55:37,NARENDRA MODI
10 April 2018 Tuesday,20:21:04,NARENDRA MODI
10 April 2018 Tuesday,20:21:47,GOOGLE.COM
10 April 2018 Tuesday,21:48:03,NARENDRA MODI
10 April 2018 Tuesday,21:48:33,INSTAGRAM.COM
10 April 2018 Tuesday,21:49:05,OPEN CALCULATOR
10 April 2018 Tuesday,21:49:10,CALCULATOR CALCULATOR
10 April 2018 Tuesday,21:49:48,CLOSE APP
10 April 2018 Tuesday,21:49:52,CALCULATOR
10 April 2018 Tuesday,21:50:06,WEB SEARCH WEB
10 April 2018 Tuesday,21:50:14,Govind Narayan Jha
10 April 2018 Tuesday,21:50:33,PLAY MUSIC
10 April 2018 Tuesday,21:50:39,Dil Diya Galla
